musical,synopsis
assassins,"The play about the people who killed several different people, including couple of presidents of USA, among which is Lincoln. One of them, John Wilkes Booth, during the course of the play was depicted as insane, who, above any lofty motives for the murder, just wanted to harm his country and disrupt its social structure. Yes, he was not used to changes, and they became so numerous during the civil war that the mind of the little man could not bear it.  One of the assassins, who tried to kill Roosevelt, killed another person in his place – the mayor of the city – and did not repent of his deeds. On the contrary, he was glad that he had killed someone, ""who controls the money"". According to him, it was good. Being executed on the electric chair, he no longer preached his vile ideas.  The next killer talked about anarchy, and what, in his opinion, may be called as ""social justice"". Their minions talk about the human qualities of Charles Manson, enjoying their own vices. Some of them knew Charles at school. And someone uses posters with Colonel Sanders as a target in a shooting gallery, only shoot him with martial bullets.  Gradually, with the increase of a degree of discontent with communal system in which they live, those who show us through a series of scenes on the stage, get the audience to the fact that they all converge to the murder of the president of USA as the only viable solution. One of these fanatics kills President McKinley.  In the play, we also meet inhumane Lee Harvey Oswald, who is considered almost a god be participants. But what amazes truly, happens at the end of the show – all on the scene charge their guns and shoot at the audience."
porgyandbess,
findingneverland,"The story is a mixture of fairy tale about Peter Pan and description of life of the Scottish writer J. M. Barrie, who created this story, based on his surroundings and acquaintances.  Barrie meets the widowed woman named Sylvia, who has four children, and she has to raise them alone after her husband's death from cancer. As Barrie and his wife don’t have children, so he, being a child in the soul, actively plays with them from the heart. As well he becomes a very caring person to his new girlfriend. Barrie's wife against such a pastime, as well as mother of Sylvia, a woman of strict views and wanting to control everything in the life of her daughter. After some time, Sylvia begins to wither from an unknown illness and Barrie's wife leaves him, protesting his affair on the side. Barrie at the same time develops the basis for his novel, calling it Peter Pan, after one of the boys of Sylvia, fidget Peter, who does not want to grow up and to whom he has a strong attachment. Surname “Pan”, he could take based on following meaning of it word: ""to give it hot and strong"" or from other word, ""pun"".  This writer wants to develop a play based on a new idea, but does not want it to fall into the same sharp criticism, as well as his previous, unsuccessful work. The director of the play, Mr. Frohman, extremely reluctantly takes it into production because he does not believe that the rich theatergoers will attend it. At the first exhibition, Barrie led there many children from orphanages and they infect surrounding people with their delight and simply melted their hearts, so the play became terribly successful. Peter attended a play and realized that it was made based on the life of his family. Barrie decided to make a personal spectacle to his beloved Sylvia, who cannot visit it in the theater, because of being terminally ill, and she is too weak to walk. He brought the actors, make-up and costumes to her house, and in the final stage, her children helped her to enter into another room under the guise of that it was a Neverland. In the next scene, the viewer sees the funeral of Sylvia after her death. The statement of her last will contained an indication for Barrie to take care of her children as they agreed before.  Peter sitting on a bench reading a script of Peter Pan, in the same place where they had met with Barrie for the first time and the latter comforts Peter, exhorting him that the life goes on."
chittychittybangbang,"Children of inventor named Caractacus Potts are the principal characters here. He was not very lucky in the inventions, as well as in his second path – investments. Periodically tries to invent something to sell his ideas, wherever he can, but he was not lucky. His automatic hairdressing machine suddenly did very ugly cuts out of hair of the angry client at the local fair. His sweet caramel whistles, as it turns out, has attracted not only with its whistle, but also dogs from all the neighborhood. Or when he was trying to dance, he almost destroyed the whole dance. The unlucky man, if to put in two words.  It happened so that one of the vehicles – cars – was for a long time in the garage of the inventor and his children grow up on a farm where this garage was standing. Their father was not the owner of the remnants of the car, and a ragpicker-usurer wanted to purchase it as scrap metal, but children resist it. Once they have been found as they played hooky by a beautiful baroness with a funny name Truly Scrumptious (“very excellent”, it may be translated). She brought them home at her car to his father and was very interested in inventions of Caractacus, as well as in his car. It turned out that it was not a simple car. It once constantly won a bunch of racing competitions, but one day went into a ditch and was on fire, and its stuff somehow migrated here. The audience also learns that there is an evil ruler of the fictional country Vulgaria (it seems to us, is has derived from the name of the country Bulgaria, but assuming from a variety of other sources, this version requires confirmation). In this country, citizens speak on a mixture of English, German and French, and it is located somewhere in Europe. It has evil rulers who send their agents to track down and to steal this in the past racing car. They did not succeed, but steal Caractacus and his father, and the children of Caractacus run after him. Along the way, they managed to destroy the evil state system of Vulgaria, freed the local citizens from the bad kings, they jailed their rulers & exiled them afterwards, and safely got themselves back home. While it appears that the racing car can fly and float, making this cute story to be a fairy tale.  Caractacus Potts successfully sells one of his inventions – a sweet whistle – to a local chocolate baron and becomes rich, marry Truly Scrumptious, because there are feeling between them for a long time."
the25thannualputnamcountyspellingbee,"School gymnasium was prepared for the finals of the regional competition for the best spelling and pronunciation. Young participants have started to be registered by the former winner of the world championship Miss Rona Lisa Peretti. Olive had problems with the payment of the participation fee, but the girl was met well when she said that her father would bring the required amount by the end of the contest. Soon Douglas Panch announced participants spelling rules that they must follow. 10-year-old Logainne Schwarzandsrubeniere started the competition first. Girl has successfully coped with the task, and then the organizers called Leaf Coneybear. Struck not only himself but also his family, the boy successfully wrote the word without knowing its meaning. Olive was forced to abort assignment to protect the empty chair prepared for her father. Chip Tolentino was thinking of other things like pretty girls, and therefore could not write a word correctly. Following an internal impulse, Leaf has successfully completed a new assignment, not knowing again what it was. William Barffe had a special technique because of the disease – the boy wrote with his foot.  During the break, Chip was instructed to sell food – this was his punishment for the knockout. Starting a quarrel with William, he began to throw peanuts at him. Olive stood up for the boy, who had a severe allergy on peanuts. Embarrassed Barffe began to feel sympathy to her. After the start of the second round, participants continued competition. They went through a few levels without loss, but in the end, Leaf left their ranks. The finalists were four contenders for the title. A representative of Catholic school Marcy could not stand the stress and went off the distance. Logainne Schwarzandsrubeniere had a hysterics, and one of her parents rushed to the scene to calm their daughter. Under cover of this, man tried to hurt William Barffe and his wonderful foot. Rona Lisa Peretti received a message from Olive's father – he was delayed at work, so the question of the contribution would be decided later. Girl with difficulty kept the focus, learning the news. Suddenly William’s foot stuck to the floor. Fighting for participation in the contest, the boy realized that he could write with hand. Logainne dropped out of the competition, being too wise performing a simple task.  Only two members left at the end – Olive and William Barffe, who were nip and tuck. The girl and the boy began to experience a lot of sympathy to each other. For William, it was a new thing – he stopped to think about himself and his disease. Despite the good attitude to the opponent, the children realized that only one participant could win. The main prize went to Barffe – excited boy got $200. Despite the loss, Olive was happy for William, which significantly reduced the level of his concern due to her failure. Suddenly Douglas Panch announced – for the second place, it was decided to hand over the prize money too. It was enough for Olive to make a deferred payment for her participation in the competition. The girl had no idea that the man decided to help her and provided the required amount from his own purse. Actions of a colleague praised Rona Lisa Peretti, which pleased Panch very much."
afunnythinghappenedonthewaytotheforum,
thepiratesofpenzance,"On the shore of Cornwall, in the time of Queen Victoria's reign, the young boy Frederic is celebrating his 21st year of birth in the company of pirates. Concurrently, this day is the last day of a young man studying the pirate ‘mastership’, to which he was condemned by his own babysitter due to her poor hearing. She did not hear well the instructions of the dying young man's father & instead to make sure he would become the captain of the ship, she sent him to learn the tricks of the pirate business.  The young man announced that after leaving the ship, he would have to change his occupation. Now he has to fight with them. Besides, they are not successful pirates. A true villain does not have a sense of pity, but these pirates release all the children who are (or pretend to be) orphans. He asks his former friends to go away with him, but they did not agree, focusing on the fact that pirates business in comparison with the secular virtue is supposedly more honest.  Suddenly, the boy saw a group of girls & was affected by their beauty. As previously, except for the babysitter, he did not see other women. One of them offered to help him & the young people immediately fell in love. But the young man had no chance to warn them about the pirates’ closeness as they come & take the women in captivity. Suddenly appears major-general – the father of the captives. Learning of Pirates of Penzance, he pretends to be an orphan. This pacified the villains & they let girls go. In this simple way, major-general & his daughter became honorary members of the pirate gang.  Left alone with his thoughts in his estate, major-general is in remorse, because he so brazenly lied to the pirates. Even prayers & consolations of daughters do not produce the desired effect on him. Soon the police squad arrives, announcing the intention to arrest the pirate gang & this is admired by young girls.  Staying in gloomy reflections, Frederic decides to bring the police in pirate lair in order to atone the fact that he had been for so many years their accomplice. But the plans of the young man did not come true, because the head of the pirates announces him as his birthday fell on 29 February, i.e., is celebrated only once per every 4 years, in fact, he served only 5 years. So he should be serving 63 more years before his 80th birthday. The young man agrees with such reasoning & declares his readiness to return to the team, but before he reveals the lie of the old major-general. Perturbed pirates promise to avenge to an old man.  Beloved of the young man begs him to stay, but he is tied with mobsters with duty, therefore, cannot cease faithful service to them. The young man is torn between his duty & the desire to stay with the beloved girl, but she comforted him, promising to wait. When the police arrives, a brave girl asks to arrest the pirates who attacked the meantime her father's estate.  Pirates saw an old man, meditating on the beach & wanted to grab him, to punish him for his daring lie. But the police, who lurked nearby, enters the fray. Suddenly, the commander of the police squad, seeing that the forces are unequal, ordered the pirates in the name of queen to lay down their arms & surrender. Honest pirates, hearing the name of a respected & beloved queen, execute an order. Appears a babysitter of a boy & declares that the pirates are noblepersons who went the wrong way. Major-general, impressed by the latest news, allows them to take his daughters in marriage."
1776,"The Second Continental Congress started working on May 8, 1776 in Philadelphia. Massachusetts Representative John Adams was distressed because of the fact that his proposal for the independence of the American colonies were not allowed to discuss. The rest of the delegates, on the contrary, were delighted with these news, hoped that he finally stops to put forward such a demand. Adams realized – Congress does nothing but conversations. After reading the letter of his wife, the delegate did not find the answer to question he asked her. Spouse was more concerned that she had not seen her husband for a long time. The next day, Adams came to Benjamin Franklin. He was upset that the latter did not support his proposal for independence. The delegate also said – a question like this for discussion was best to be promoted by the other person. Virginia Representative agreed to raise this topic in Congress.  When Richard Henry Lee put a resolution on the independence on vote, John Dickinson of Pennsylvania asked to postpone this discussion on indefinite time. Congressmen of five colonies would consider a resolution now, but the opinion of the representatives of the other six states outweighed. Suddenly in the hall appeared the late delegate from New Jersey. He called for discussion of the independence of the colonies, and the balance of opinion on this subject has come. Adams urged the President of the Congress to deal this stalemate with his voice. Dickinson also put a statement for discussion saying that all the colonies should unanimously support the resolution on independence. As a result, the advantage was gained by supporters. John Adams has asked to postpone the discussion, saying the fact that it was necessary to create a declaration, which would clearly describe the laws of Independence. After voting, the delegates formed a committee to develop the project. It included Adams, Franklin, Roger Sherman, Robert Livingston, and Thomas Jefferson.  Soon members of the committee began to discuss which of them would write a future Declaration. Several people took the rejection. As a result, Jefferson was instructed to do that – he was the best writer among present. A week later, Adams and Franklin checked the progress in the work of the delegate. Being in spleen, Jefferson almost did not do anything – he missed his wife, to whom he wanted to go earlier. He was cheered by the unexpected arrival of his wife. John Adams sent for a woman, realizing that it was necessary to support the delegate. On June 22, 1776, hearings in Congress resumed. Supporters of independence have tried to influence the representatives of other states. After reading the declaration a few people went to their side. Soon was adopted a symbol of the future country – the eagle won over the turkey and pigeon, which were also offered by other delegates. During the discussion of the Declaration, many recommendations of congressmen were included in it. The delegate from South Carolina demanded to remove condemnation of slavery from the text. John Adams was against it, but Franklin said that independence was more important than the fate of the black population of the country. With coaxing, they could get the votes of delegates of all states – even the representative of New York, who usually remained neutral. In the evening, July 4, 1776 the establishment of the new American country was recorder officially."
kissmekate,"The main characters are actors who rehearse Shakespeare's play. There are the following people in collective: a director Fred, playing a major role and his ex-wife, the main actress. Couple constantly quarrels. Lilly is jealous him of young Lois, who plays Bianca. Her friend Bill misses rehearsal, but appears after it. The girl is in love with him. He says that he has written down a large sum of money on the name of director.  Lilly reminds Fred that one year from the moment of their divorce has passed. They remember their past with dancing and romantic music. Later the woman receives flowers from the ex-husband and admits that she still loves him. The card, which is addressed to Lois, is attached to flowers, but Lilly promises to read it later. Meanwhile, gangsters press Fred to return them money, but the man doesn't even know about it. Mobsters promise to return for his soul.  During a performance, Lilly reads a card. She is very angry. Suddenly the woman steps on the stage and hits Fred. Fred doesn't keep it up and slightly hits her. After a performance, Lilly declares that she leaves. But in this case the man should close a performance and he won't be able to give money to gangsters. They promise to take care of that Lille remained. On a scene, Fred asks the heroine to kiss him. The woman refuses. Then Fred takes her and bears behind the scenes. The performance continues. Fred's character tries to tame Lille. Meanwhile, her groom comes there. Lois understands that he is her former beloved. She promises not to tell Lille about it. Bill incidentally hears over their conversation. The girl says that everything is in the past and she loves only him.  The head of mobsters was killed. Now they don't need to ask Fred to return money. Lilly's groom wants to prepare for a wedding. He doesn't believe that the woman is detained in theater by gangsters. Fred says that life of Lilly will be boring without theater. But his attempts are unsuccessful. Lilly leaves alone. Actors play a performance without her. At the last minute, she appears on a scene. Love couples (Fred and Lilly, Bill and Lois) kiss."
damnyankees,"From time to time on the stage and in the movies there are such films where someone sells his soul to the Devil in exchange for some very strong desire (please mind that always HE sells, never SHE). Here we have an old fan of the baseball team, who longs them to win from Yankees in the World Cup (though ""world"" is, though the official status of these games, untrue, as everyone knows that only the Americans are baseball-addicted and no other nation understands the rules of & have no interest to this game).  So much he wants their victory, that says this aloud that he’ll sell his soul, so they just received some young and talented balls slugger. And here comes the Devil, who offers him exactly this – he takes his soul in exchange for making him a young and very successful slugger who will lead this team to success. But this fan, having a flair, understanding the necessity to leave himself a loophole, also agrees that if he will reach the final game with the team, the soul will forever be considered sold, and if he leaves before the end of it, the deal is off & he gets his life back. The transaction starts, but he has to leave his wife, whom he loves very much.  He was quickly taken to the team and all wildly liked a new player who deals with all the balls. But he is very sad for his wife and is even thinking to go back to her. Devil, trying to prevent this, sent him charming beauty, so that she did her job. As she failed, the Devil sent her down, to sing along with fallen souls.  The Devil sues a player to the court, under false accusations. Besides the fact that the whole thing is delayed, because Devil in human form as the prosecutor is unable to swear on the Bible that he would not lie on his testimony, and the identity of the fan/player does not exist at all, an opposing force transfers him from the court on the game – the very final one. Although he in a second before its completion shouted to the Devil to let him go, breaking the contract for the sale of the soul, he still ends the game, leading his team to a victory. The Devil himself complains that now it takes very big efforts to get only one human soul, not as previously (Those Were the Good Old Days).  Although he returned to his wife, the Devil comes to him, demanding a soul. He asks his wife to hold him tight, which she does. And it turns out that the strength of the Devil is powerless against True Love. He goes to Hell along with his henchmen, and the player happily embraces his wife, and they stay together."
americanidiot,"The story of a certain group of teenagers, spending their time in vain, living with boring days – where everything is endlessly repeated – TV, despair, idleness, lack of desire and no-wannabe to develop and go somewhere to do something. One of them, Will, has a girl and she turns out pregnant. Although his friends, Johnny and Tunny (with nearly indistinguishable names like the symbolism of the fact that all the faceless in today's world) leave to a small town, to try & find themself (forgetting or not knowing that when you're trying to escape from yourself, you still take you with you).  With the songs Boulevard of Broken Dreams and Are We the Waiting, the hero of Tunny decides to go to the army, because he does not know where to apply himself in this world, what to focus his efforts on and seduced by continuous television advertising (which calls for the army, describing it the best place). Yes, the army can make a tough guy from gruel, to instill an iron will or it may completely brake you and make you return home. Army can even kill you, because there is a chance that you will go to war.  St. Jimmy is a character whom we find from the same man who plays Johnny – he is his alter-ego, a drug dealer and no saint at all. Under the influence of such a schizophrenic split of personality, which appears due to idleness, he uses strong illegal substance, which begins to influence his life in abnormal way. At this time, our concerns about the incompetence of the army in terms of maintaining the integrity of the physiological embodiment justified – our antihero, Tunny, goes to war, where he was wounded. And in the fictional town of Jingletown Will meanwhile toils of longing and expectation of the upcoming baby.  Next is a long story about the joint use of psychoactive drugs, physical love, separation, recovery of Tunny in hospital, returning home after amputation, with a very good girl. Johnny is released from his alter-ego and drug addiction, knowing that he must reconcile himself to live on."
chess,"A chess match was organized between the strongest opponents – the USSR and the USA & between strongest chess players, Freddie Trumper and Anatoly Sergievsky. The first has a companion, a woman of Hungarian origin, which was grown in England. The second brought a hidden KGB officer, who must ensure that Anatoly would not escape from USSR falling with temptations of life in the United States.  The first game was lost by Freddie – the current world chess champion – and he goes to discuss the financial terms of his play with his sponsors. During the discussion, his companion having affair with Anatoly and it is flamed at the beginning of the second round of the tournament, despite the fact that Anatoly has a wife and children in the USSR. Freddie sees this affair and it hardens him and plunges into despair. He loses the tournament to Anatoly, making Anatoly world chess champion. Anatoly immediately submits to diplomatic asylum in the United States, in order to avoid returning to the Soviet Union.  At the beginning of the second act, we see how a new big chess tournament is going, this time taking place in Bangkok – the capital of Thailand. Freddie already there, enjoys the delights of the nightlife of this eastern metropolis. Freddie has to voice the tournament, and he now has a former companion as his boss, whose mission is to prevent Anatoly confirm his world title. A former girl of Freddie, which is now lover of Anatoly, despite his married status, has similar task – to prevent him to win. And here comes his wife, who also wants to return Anatoly to Soviet Union. Alternately interfere him through various insidious plans, all three fail and Anatoly wins the tournament. But later he nevertheless decides to return to the USSR, as they all three wanted to."
thedrowsychaperone,"Events allegedly twisted in the mind of the man who sits in a chair in his rundown home and listens to the recording of non-existent musical The Drowsy Chaperone, created on Broadway in 1928. Suddenly, his apartment was transformed into a stage on which this musical goes. Events unfold around one oil tycoon who plans a wedding to the musical actress, who wants to finish her career and to become his wife. On the other hand, there are the gangsters, whose owner invested his money in a musical named Follies, where the future wife of tycoon plays a major part. Her silly and unpointed henchman Kitty wants to take the place of the lead actress after bride fiancé leaves the play. Mobsters require that a musical director by any means, thwart the engagement, because they don’t think that the financial success of the musical will happen if the main star leaves the stage. Kitty could not prove that she was talented enough to take the place of a leading actress and director is now trying to save the situation by hiring hottie handsome, so he seduced the bride.  The future groom worries about the upcoming event and, to relieve tension, his best man advises him to roll in the back garden with a blindfold, which is undoubtedly difficult but distracting. Seeing him doing this, his bride captures him and pretends to be some kind of a Frenchwoman, talking to him about that and about this, so he feels she is very similar to his bride & kisses her. She is furious that he kissed some French girl, announces the cancellation of the wedding, despite the sluggish attempts of the groom to protest. Her bridesmaid was confused with the bride by hired seducer and now, believing that he had seduced the bride, he informs all that the wedding is canceled for this reason. Then he was told of mistake.  Bride of magnate, Janet, eventually agrees with his arguments that he kissed the girl, just thinking about Janet. As a result, they are again planning a wedding. Director of Follies says to gangsters about a new star of the show, thick-headed Kitty. Latter declares to ""representatives of producer"" that she will be the wife of the director soon. In the backyard, of the house a plane suddenly lands and best man remembers that he did not find a priest for the wedding. In addition, all getting-married want to be espoused here and today. So they ask the pilot of the aircraft to marry them according to sea and air regulations, when the captain of the ship can be a betrothing priest. They board the plane to make it and to fly on it to their honeymoon."
agentlemansguidetoloveandmurder,
thefantasticks,"Sly fathers of families who live in the neighborhood, manipulate their already adult children (respectively a boy and a girl), so that they fell in love. They fake a long-standing feud, and their views on life are shown as completely different philosophy, which is reflected even in how to take care for the garden. The first says that the whole thing is in abundant irrigation, while the second states that in irrigating is important not to overdo it. As it turns out, it's pretty effective policy, since their children really fall in love and met secretly in the attic of their home, where their apartments located. One day, fathers develop genius, in their view, plan to hire a professional who would steal the daughter of one, while the son of second heroically saves her. This would put an end to their ""feud"", and they would love to have consented to the marriage of children. In addition, such an event will solidly pull together the future husband and wife. Generally, it would seem just a heaven on Earth.  They hire some El Gallo and his disheveled henchman disguised as a Native American, to the kidnapping of those, and it should be on the highest level, not sparing anything for their children, neither in money nor in entertainment of the event. One evening, beloved were returning home, cooing, with allusions to the desire of physical contact between them and they were attacked by these two men. Young fellow heroically fights them off, protecting his girlfriend, and eventually attackers flee. Their parents come to the noise and simulate the scene of reconciliation and all embrace. El Gallo collects props scattered around the stage and go away with his partner.  Some time later, after the ban on meeting collapsed and the two families began to talk to each other in open, mutual quarrels and accusations begin to grow. Children try to recreate those sparks that were between them, whereas all find disadvantages of each other. One of the parents recognized that their feud and the theft of the bride were a fake and all start to curse each other, resulting in a fictional feud turned into tangible. The girl calls guy poseur, and he named her too childish. Guy hastily leaves the city and wandering for a long time without going back into it. The girl mope all day sitting at home doing nothing. Fathers, also sad for such a passage, reflect on the heaviness of child-rearing (""Plant a Radish"").  A girl then falls in love with a mature and experienced bandit El Gallo, and in a burst of momentum, wants him to steal her and together they flee to see a big world. In front of the audience, various entertainment scenes begin to slip, then they fade. These two begin to plan departure on the same day and she goes after her belongings while El Gallo asks her neck chain as a pledge that she would return to him, and she gives it.  Returning, she sees that a bandit ran away and she freezes in tears. While her beloved returned, catching her like that and comforting. As a result, these two realize that they have to be together and need each other more than they thought and more than all the adventures of the world. Their fathers are happy to welcome this news."
once,
jekyllandhyde,
beautifulthecarolekingmusical,
brigadoon,"A distinctive feature of this musical is a fairly large number of actors. First, we meet a couple of travelers from New York, Tommy and Jeff, who lost in Scottish forests when hanging there. They heard the voice that sang a charming song ""Brigadoon"" and went to it, came to the village with the same name. The voice belonged to a young girl that sang it in response to a question, when she will marry, that her friends asked. She said she is waiting for the right person. While her younger sister is just about to get married and the father goes to town to buy supplies for the upcoming event.  Two newcomers stay in a local hotel and one of them really liked by the local milkmaid, who immediately spots him. Then they go on a picnic in the woods, but he rejects her claim without expressing the desire to become her boyfriend.  One of the newcomers notices that his Bible dated 200 years before this year, and being interested in it, asks the innkeeper's daughter about and in the response, she sends him to the local schoolmaster. He tells an amazing story. Once upon a time, the local mayor wished very much that his city was removed from the influence on the environment, so not to deteriorate and not to spoil. Due to some strong magic, this wish has come true, but in a peculiar way – the city was gone from the real world and returns just for 1 day every century. During this day, anyone can enter, but none of its inhabitants can get out of it, otherwise the city will be gone forever. The newcomer can stay in it if he strongly enough loves someone from the city to stay in it forever.  One of the residents, being in love with a girl that is about to marry, telling everyone that he is leaving the city because of the inability to accept this wedding and some time later he is found with fractured skull, obviously falling from the local rock. Tommy wants to stay in town forever, loving local woman, Fiona. Tommy tells his friend that he had killed a local and a friend convinces Tommy that staying in the city is not the best idea. He tells his doubts to Fiona & she responds that she will always love him.  4 months later, Tommy drinks heavily and sees Fiona in every woman, even in his bride, who abandons him because of this obsession. They decide to go back to the Brigadoon, though did not expect to see anything there. City really was not there, but, to their surprise, a local schoolmaster came out of the mist, saying that his love has opened a portal to the city and takes him to the fog, so he will be reunited with his Fiona forever."
onthetown,"In 1944, three sailors received a daily vacation. Chip wanted to see the sights of New York. Ozzie wanted to find a girlfriend. Gabey wanted to meet the girl, similar to his classmate. Near the subway, sailors saw a poster with Ivy Smith – ‘Miss Turnstile’ in June. When Gabey tore a picture off, he was scolded by an old woman. She said that the sailor would be arrested for vandalism. Trinity ran away from the crime scene. Gabey wanted to meet Ivy Smith & comrades decided to help him in this. Sailors went to different places, hoping to find a girl. The old woman called police & they began to look for violators.  Taxi driver Hildy was caught by her boss sleeping in the car. The man kicked her out & told to come back in an hour. Soon a girl met Chip & fell in love with him. Kiss had no effect on a sailor – he was looking for Ivy. Hildy invited him to tour around the city, but the places that the man wanted to visit, were either destroyed or were not in their best shape. She wanted to bring a guy to her place. At this time, possessor of the vehicle decided that the driver had stolen it. He joined the old woman & the police in the chase.  Ozzie was searching for Ivy at the Museum, but accidentally entered in the Natural History’s Museum. There sailor met Claire. The anthropologist was struck by similarity of person with primitive man. She asked for permission to measure him. He made a mistake by adopting scientific curiosity for love one. The woman explained that she was engaged. Claire & Ozzie accidentally destroyed the dino. Professor, who had gathered his skeleton, chased them, joining the old woman, the police & owner of the cab.  A girl from the poster took vocal lessons. In fact, she was not so glamorous, how the contest portrayed her. She performed erotic dances. As soon as the teacher left, in the hall appeared Gabey. The sailor was struck, when received consent from Ivy to go out. After conducting Claire to hers place, Ozzie met there with her fiancé. The judge did not believe in their explanation of why they had come together. He reminded Claire, that soon they would have a meeting & left. Hildy led Chip home. Girl seduced a sailor with her talents – especially culinary ones.  Ivy was going to relax with Gabey. But then Madame Dilly said that the girl should go to work. Otherwise, she would be fired & would not receive a fee for training. The girl was forced to leave the sailor be. Chip & Ozzie have brought to Nedick’s bar their girlfriends, dressed as Ivy. But they were not able to cheat a friend – the sailor told about a meeting with a true girl. Madame Dilly came & said that Ivy would not come on a date. Hildy promised to invite a girlfriend for Gabey. The company went after Lucy to another club. There they met a judge who once again did not take Claire’s explanation. Gabey soon learned that Ivy would be performing at Coney Island. He immediately went there with his friends behind him.  Ivy performed dance of concubine from harem of Maharaja. When she saw Gabey, he accidentally broke the meager outfit of a girl. Ivy was arrested for indecent exposure. Then the terrible pursuers came. They demanded the arrest of sailors for breaches. The girls asked the judge, who joined the pursuit, whether he made mistakes. A negative response of the man was interrupted by his sneeze. The judge could catch could only by very close contact with Lucy – only she had a runny nose from all present. As a result, the judge’s accusations looked untenable. Saying goodbye to beloved ones, the sailors returned to the ship on time."
thewhostommy,"Young Captain Walker married in 1940. He soon left the young wife by going on a mission. During landing, the Englishman was captured and became a prisoner in the concentration camp. Pregnant Mrs. Walker was helped by Ernie, her husband's brother. Soon they received the message, saying that the captain was missing. In 1941, Mrs. Walker born the son Tommy. In 1945, all the concentration camp prisoners were released, but Walker wasn’t amongst them. Young woman celebrated her 21st birthday with a 4-years-old-son and her lover. Then the boy was sent to bed. Suddenly, the captain returned home. Soon he started a fight with a cohabitant of his wife. Tommy woke up and walked into the room. Mother turned him away from the fighting men, but the boy has seen everything in the large mirror. When Mrs. Walker tried to stop the fight, the captain shot his opponent. The husband and wife realized – their son witnessed the murder. The couple started to convince looking in the mirror Tommy that he had not seen or heard anything. He was forbidden to tell anyone about what happened.  When in the court they tried to get a testimony from the boy, the child did not tell anything. Captain justified himself saying he acted in self-defense. Soon parents realized – because of them, Tommy ceased to hear, see and speak. When he was taken for medical treatment, the doctors could not do anything with a boy. One day, the couple had to leave the house. Captain and Mrs. Walker left the 10-year-old son on the care of Uncle Ernie. The man took advantage of the helplessness of the child and abused him. Later cousin Kevin began to watch after Tommy. Making abuse of him first, he took a boy with him to the club. Kevin left Tommy near the pinball machine, paying one game and left to play billiards. Suddenly, the boy reacted to the game. By controlling the machine by touch, he scored a huge amount of points. This attracted lots of people around, among whom were the parents of the kid.  When Tommy again was showed to the doctor, he did not notice the changes in him. Soon the captain was offered to take a son to the gypsy woman, who supposedly could bring the boy to life. Walker did not dare to leave the child alone with this woman, and went back home with him. 10 years later, Tommy became a famous player in the pinball. He earned a lot of fans. The new treatment did not help the young man. One day, the mother couldn’t endure like this anymore and broke a mirror in front of which stood her son. At this point, the young man recalled the memory about the murder, and he once again started to perceive the world around. Soon Tommy left home. Fans embraced his recovery as a miracle happened thanks to a pinball game. Many newspapers have written about the miraculous recovery of a kid.  After a while, the cult of worship formed around Tommy. Kevin and his friends began to work in a young man's bodyguard service. Tommy wore a helmet, insulating senses from the outside world, and played pinball again. The young man was collecting stadiums of fans who wanted to become the same as he was. A fan Sally once had broken through the bodyguards circle to put a scarf on her idol. When bodyguards started beating her, Tommy stopped them. Taking her into his arms, the young man went to the house of the girl to her parents and invited everyone there. Mrs. Walker took injured Sally to the bedroom because their home was crowded with fans of Tommy. When they asked the young man how to become like him, he replied that they should not do so – everyone should be themselves. Disappointed with their idol, fans left him alone with Sally. Tommy had forgiven his relatives and restored relationship with them."
bemorechill,"Hearing voices is never a good thing, unless the voices are coming from your squip. No, not script --- squip. Google ""squip"" and you'll come up with a boring kill-the-space-aliens game and some information about a supercomputer the size of an aspirin, currently illegal to use. Swallow the computer and become cool. Get all the girls, or guys. Dress sharp. Learn to flirt and drive, and generally be more chill."
